Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown11
"779","1602","-3600","40","-0.004314","0.998871","0.047311","Waterfall_TurbulenceLrgDir","0","571","0","0","0","0","0","14924"
"780","1602.45","-3612.63","81.9201","0","0","0","Waterfall_RegularLarge","0","571","0","0","0","0","0","14895"
"781","1583.484","-3922.917","114.7023","0","0","0","Waterfall_RegularLarge","0","571","0","0","0","0","0","14895"
"782","1591.42","-3912.09","88.7032","0.495405","0.766524","0.408676","Waterfall_TurbulenceLrgDir","0","571","0","0","0","0","0","14924"
"783","1613.65","-3958.22","140.686","-0.910226","0.414087","0.004453","Waterfall_TurbulenceMedDir","0","571","0","0","0","0","0","14915"
"784","1639.77","-3957.19","170.964","0","0","0","Waterfall_RegularMed","0","571","0","0","0","0","0","14899"
"785","1879.74","-3972.09","180.95","-0.941478","0.036603","-0.335079","Waterfall_TurbulenceLrgNarrowDir","0","571","0","0","0","0","0","14924"
"786","1980.12","-3977.66","200.483","-0.917078","0.177366","-0.357083","Waterfall_TurbulenceLrgNarrowDir","0","571","0","0","0","0","0","14924"
"787","1901.79","-3974.44","187.454","0","0","0","Waterfall_RegularMed","0","571","0","0","0","0","0","14899"
"788","1998.44","-3982.19","211.542","0","0","0","Waterfall_RegularMed","0","571","0","0","0","0","0","14899"
"789","2065.9","-3302.52","84.7791","0.110368","0.973337","-0.201079","Waterfall_TurbulenceMedDir","0","571","0","0","0","0","0","14915"
"790","2043.41","-3325.19","98.5672","0","0","0","Waterfall_RegularSmall","0","571","0","0","0","0","0","14900"
"791","2043.582","-3282.491","96.2917","0","0","0","Waterfall_RegularSmall","0","571","0","0","0","0","0","14900"
"792","2046.308","-3263.71","54.59488","0","0","0","Waterfall_RegularSmall","0","571","0","0","0","0","0","14900"
"793","786.333","-4720.85","144.579","-0.027994","-0.979051","-0.201684","Waterfall_TurbulenceLrgDir","0","571","0","0","0","0","0","14924"
"794","779.074","-4766.34","71.7373","0.22627","-0.973714","0.026155","Waterfall_TurbulenceLrgDir","0","571","0","0","0","0","0","14924"
"795","750.32","-4814.06","16.2552","0.233851","-0.917052","-0.323005","Waterfall_TurbulenceLrgDir","0","571","0","0","0","0","0","14924"
"796","806.243","-4783.38","17.0748","-0.013896","-0.005271","-0.99989","Waterfall_TurbulenceLrgDir","0","571","0","0","0","0","0","14924"
"797","777.174","-4678.85","188.676","0","0","0","Waterfall_RegularLarge","0","571","0","0","0","0","0","14895"
"799","1267.79","-5083.91","36.3642","-0.860858","-0.506987","0.043478","Waterfall_TurbulenceHugeNarrowDir","0","571","0","0","0","0","0","14950"
"800","1578.43","-4299.27","142.447","-0.959993","0.258949","0.106578","Waterfall_TurbulenceLrgDir","0","571","0","0","0","0","0","14924"
"802","1608","-4300","179.889","0","0","0","Waterfall_RegularMed","0","571","0","0","0","0","0","14899"
