Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3
"265","0.6409665","0.6033005","5","19","0"
"267","0.4949341","0.327836","5","23","2"
"268","0.2901504","0.6199582","6","24","2"
"269","0.5707815","0.4171842","6","25","1"
"270","0.4511325","0.6232776","6","18","0"
"271","0.5703714","0.5805632","6","19","0"
"272","0.6059475","0.6792182","6","20","0"
"273","0.2103923","0.4691165","6","22","1"
"274","0.473411","0.3477035","6","23","2"
"1018","0.8426159","0.3313988","6","59","4"
"1019","0.7103061","0.5734047","6","63","3"
"2251","0.4625366","0.352339","258","18","0"
"2254","0.6754246","0.551773","258","23","0"
"2258","0.6077253","0.3526414","259","18","0"
"2259","0.4776709","0.2736752","259","19","0"
"2260","0.5731949","0.4462737","259","20","0"
"2261","0.4457062","0.6516793","259","22","0"
"2262","0.7227622","0.5996174","259","23","0"
"2263","0.7613475","0.34703","259","24","0"
"2264","0.7029714","0.22777","259","25","0"
"2265","0.8527733","0.8548658","259","59","0"
"2266","0.2238625","0.8332557","259","63","0"
"2267","0.09313751","0.6938885","259","67","0"
"3002","0.6246275","0.1643299","6","67","0"
"3196","0.1319293","0.2919193","259","81","0"
"3252","0.5003284","0.6541826","444","18","0"
"3253","0.6225181","0.6121305","444","19","0"
"3254","0.238065","0.4889841","444","22","0"
"3255","0.5349059","0.3675711","444","23","0"
"3256","0.8456906","0.3954164","444","59","0"
"3257","0.8317584","0.5557447","444","63","0"
"3259","0.6077253","0.3526414","445","18","0"
"3260","0.4776709","0.2736752","445","19","0"
"3261","0.4457062","0.6516793","445","22","0"
"3262","0.7227622","0.5996174","445","23","0"
"3263","0.8527733","0.8548658","445","59","0"
"3264","0.2238625","0.8332557","445","63","0"
"3265","0.09313751","0.6938885","445","67","0"
"3313","0.1564715","0.325607","6","81","0"
"3325","0.6752303","0.1709677","444","67","0"
