Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1,Unknown2_0,Unknown2_1,Unknown3_0,Unknown3_1,Unknown4,Unknown5,Unknown6,Unknown7
"1","-8888.98","-0.54","94.39","Northshire Abbey","308","0","0","0","0","0","0","0"
"2","-8841.06","489.656","109.607","Stormwind, Elwynn","0","541","0.00998004","0.01017442","0","0","2","1"
"3","16391.81","16341.21","69.44","Programmer Isle","308","0","0","0","0","0","0","0"
"4","-10551.9","1034.39","56.9543","Sentinel Hill, Westfall","0","541","0","0","0","0","4","1"
"5","-9429.1","-2231.4","68.65","Lakeshire, Redridge","0","541","0","0","0","0","5","1"
"6","-4821.78","-1155.44","502.21","Ironforge, Dun Morogh","0","541","0","0","0","0","6","1"
"7","-3787.81","-777.696","1.5582","Menethil Harbor, Wetlands","0","541","-0.002","0.002","0","0","7","1"
"8","-5421.91","-2930.01","347.25","Thelsamar, Loch Modan","0","541","0","0","0","0","8","1"
"9","-14271.8","299.87","31.09","Booty Bay, Stranglethorn","0","541","0","0","0","0","0","0"
"10","478.86","1536.59","131.32","The Sepulcher, Silverpine Forest","3574","0","0","0","0","0","10","2"
"11","1568.62","267.97","-43.1","Undercity, Tirisfal","3574","0","0","0","0","0","11","2"
"12","-10515.5","-1261.65","41.34","Darkshire, Duskwood","0","541","0","0","0","0","12","1"
"13","-17.7066","-874.203","59.0056","Tarren Mill, Hillsbrad","3574","0","0","0.003","0","0","13","2"
"14","-711.48","-515.48","26.11","Southshore, Hillsbrad","0","541","0","0","0","5793","14","0"
"15","2253.4","-5344.9","83.38","Eastern Plaguelands","0","541","0","0","0","0","0","0"
"16","-1240.53","-2515.11","22.16","Refuge Pointe, Arathi","0","541","0","0","0","0","16","1"
"17","-916.29","-3496.89","70.45","Hammerfall, Arathi","2224","0","0.007","-0.007","0","0","17","2"
"18","-14444.3","509.62","26.2","Booty Bay, Stranglethorn","2224","0","0","0","0","0","18","2"
"19","-14473","464.15","36.43","Booty Bay, Stranglethorn","0","541","0","0","0","0","19","1"
"20","-12414.2","146.29","3.28","Grom'gol, Stranglethorn","2224","0","0","0","0","0","20","2"
"21","-6676.87","-2433.37","272.771","New Kargath, Badlands","2224","0","0.002","-0.01","0","0","21","2"
"22","-1197.21","29.71","176.95","Thunder Bluff, Mulgore","2224","0","0","0","1","0","22","2"
"23","1798.27","-4363.27","102.848","Orgrimmar, Durotar","2224","0","0.0249501","0.004360465","1","0","23","2"
"24","-6666","-2222.3","278.6","Generic, World Target 002","0","0","0","0","0","0","24","0"
"25","-441.8","-2596.08","96.06","The Crossroads, Northern Barrens","2224","0","0.00399202","-0.0101744","1","0","25","2"
"26","7459.9","-326.56","8.09","Lor'danel, Darkshore","0","3837","0","-0.02","1","0","26","1"
"27","8383.75","980.964","30.8292","Rut'theran Village, Teldrassil","0","3837","0","0","1","0","27","1"
"28","2827.34","-289.24","107.16","Astranaar, Ashenvale","0","3837","0.008","0","1","0","28","1"
"29","966.57","1040.32","104.27","Sun Rock Retreat, Stonetalon Mountains","2224","0","0.021","0.005","1","0","29","2"
"30","-4310.61","-927.064","81.1796","Westreach Summit, Thousand Needles","2224","0","0","0","1","0","30","2"
"31","-4996.88","73.9427","99.8385","Shadebough, Feralas","0","3837","0","0","1","0","31","1"
"32","-3825.37","-4516.58","10.44","Theramore, Dustwallow Marsh","0","541","0","0.008","1","19444","32","9"
"33","2147.25","1537.87","341.24","Thal'darah Overlook, Stonetalon Mountains","0","3837","-0.017","0","1","0","33","1"
"34","-1965.17","-5824.29","-1.06","Transport, Booty Bay","0","0","0","0","1","0","0","0"
"35","1320.07","-4649.2","21.57","Transport, Orgrimmar","0","0","0","0","1","0","0","0"
"36","-8644.62","433.28","59.46","Generic, World Target 001","15665","0","0","0","0","0","0","0"
"37","139.24","1325.82","193.5","Nijel's Point, Desolace","0","3837","0.007","0","1","0","37","1"
"38","-1767.64","3263.89","4.94","Shadowprey Village, Desolace","2224","0","0","0","1","0","38","2"
"39","-7185.97","-3768.24","9.30053","Gadgetzan, Tanaris","0","541","0","0","1","0","39","1"
"40","-7094.03","-3813.69","9.49695","Gadgetzan, Tanaris","2224","0","0","0","1","0","40","2"
"41","-4467.04","2188.64","17.8939","Feathermoon, Feralas","0","3837","0","-0.01","1","0","41","1"
"42","-4419.86","199.31","25.06","Camp Mojache, Feralas","2224","0","-0.004","0","1","0","42","2"
"43","283.74","-2002.76","194.74","Aerie Peak, The Hinterlands","0","541","0","-0.01","0","0","43","1"
"44","3547.2","-6294.66","0.754245","Bilgewater Harbor, Azshara","2224","0","0","0","1","0","44","2"
"45","-11112.3","-3435.74","79.09","Nethergarde Keep, Blasted Lands","0","541","0","0.015","0","46758","45","9"
"46","-986.43","-547.86","-3.86","Transport, Southshore","0","0","0","0","0","0","0","0"
"47","-12418.77","235.43","1.12","Transport, Grom'gol","0","0","0","0","0","0","0","0"
"48","5123.51","-321.181","359.54","Bloodvenom Post, Felwood [DISABLED in 4.x]","2224","0","0","0","1","5793","48","0"
"49","7458.45","-2487.21","462.33","Moonglade","0","3837","0","0","1","0","49","1"
"50","0","0","0","Transport, Menethil Harbor","0","0","0","0","0","0","0","0"
