Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown1
"2","329","0","0","1","26"
"3","262","0","0","3","26"
"4","1.435522E+07","20","1000","100","8"
"5","8755445","0","1","0","13"
"6","1","0","0","0","2"
"7","1.5","0","0","0","2"
"9","1.54793E+07","0","6","-2.147484E+09","13"
"10","65280","0","0","0","1"
"11","1.51609E+07","0","0","0","1"
"12","2","0","0","0","7"
"13","1.4","1","0","0","2"
"14","0.5","0","1","0","2"
"15","458","0","0","1","26"
"16","7105791","0","0","0","13"
"17","9","0","0","1","26"
"18","6711039","0","0","0","1"
"19","1945621","0","0","0","1"
"20","5906196","0.5","0.5","0","13"
"21","120","119","223","0","7"
"22","0.3","2","1","0","14"
"23","743","0","0","0","26"
"24","1.626347E+07","20","600","100","8"
"25","0","0.2","0","0","6"
"26","752","0","0","3","26"
"27","1.1","0","0","0","2"
"28","1.271302E+07","20","600","100","8"
"29","1.61933E+07","20","2000","100","8"
"30","1.648412E+07","20","10000","100","8"
"31","1.178442E+07","22","600","70","8"
"32","1","1","0","0","12"
"33","255","0","0","0","1"
"34","1.240826E+07","15","400","96","8"
"35","5","0","0","3","26"
"36","7862770","20","500","80","8"
"37","744","0","0","1","26"
"38","1.644621E+07","15","400","150","8"
"39","4","0","0","1","26"
"40","1.631773E+07","20","300","50","8"
"41","1.560862E+07","20","600","100","8"
"42","1.573352E+07","20","600","100","8"
"43","1.573892E+07","20","600","100","8"
"44","5767344","20","600","100","8"
"45","301361","0","0","0","1"
"46","7382526","0","0","0","1"
"47","8289920","0","0","0","1"
"48","1.677696E+07","0","0","0","1"
"49","1.153434E+07","0.5","0.5","0","13"
"50","7154933","20","600","100","8"
"51","7012975","0","0","0","1"
"52","7995528","0","0","0","1"
"53","1.626729E+07","20","600","100","8"
"54","7105791","0","0","0","1"
"55","1.6751E+07","0","0","0","1"
"56","2","0","0","0","7"
"57","2","0","0","0","9"
"58","1.597142E+07","20","450","60","8"
"59","1.566585E+07","15","400","96","8"
"60","1.625612E+07","15","400","96","8"
"61","8","0","0","1","26"
"62","1.212435E+07","0","0","0","1"
"63","1.153434E+07","20","600","100","8"
"64","1.561607E+07","0","0","0","1"
"65","796108","0.5","0.25","0","13"
"66","7895160","0","0","0","1"
"67","1.049365E+07","20","600","100","8"
"68","301361","0","0","0","1"
"69","5","0","0","0","26"
"70","1.382839E+07","20","600","100","8"
"71","8","0","0","1","26"
"72","1.674226E+07","0","0","0","1"
"73","1.324059E+07","17","500","120","8"
"74","4235246","25","700","65","8"
"75","6977190","0","500","80","8"
"76","4557483","25","550","70","8"
"77","9372320","0","0","0","13"
"78","1.361915E+07","0","0","0","10"
"79","1.321083E+07","0","0","0","1"
"80","0","2","1","0","7"
"81","1.447747E+07","2","2","0","13"
"82","8","0","0","1","26"
"83","5","0","0","0","26"
"84","841430","0","0","0","1"
"85","1.220115E+07","0","0","0","1"
"86","723","0","0","3","26"
"87","95","0","0","2","26"
"88","1.67325E+07","0","0","0","1"
"89","9222653","0","0","0","1"
"90","0.5","0","0","0","14"
"91","1.238697E+07","0","0","0","1"
"92","0","0","2","0","7"
"93","3473461","0","0","0","1"
"94","0.3","2","0","0","14"
"95","520497","0.5","0.5","0","13"
"96","7","0","0","1","26"
"97","10","0","0","0","26"
"98","8947848","0","0","0","1"
"99","4144959","0","0","0","1"
"100","8947848","0.1","0.1","6","11"
"101","1.677317E+07","0","0","0","1"
"102","1900344","0","0","0","1"
"103","1.672094E+07","0","0","0","1"
"104","7","0","0","1","26"
"105","1.533566E+07","0","0","0","1"
"106","0","0","0","0","26"
"107","0","0","0","0","26"
"108","0","0","0","0","26"
"109","0","0","0","0","26"
"110","0","0","0","0","26"
"111","0","0","0","0","26"
"112","0","0","0","0","26"
"113","0","0","0","0","26"
"114","0","0","0","0","26"
"115","0","0","0","0","26"
"116","0","0","0","0","26"
"117","0","0","0","0","26"
"118","0","0","0","0","26"
"119","0","0","0","0","26"
"120","0","0","0","0","26"
"121","0","0","0","0","26"
"122","9681407","0","0","0","1"
"123","0","0","0","0","11"
"124","9868950","0","0","0","1"
"125","0","0","0","0","11"
"126","1.67161E+07","20","600","100","8"
"127","6819837","0","0","0","1"
"128","4066815","0","0","0","1"
"129","6","1","0","0","12"
"130","0","0","2","0","7"
"131","1.671991E+07","0","0","0","1"
"132","7961087","0","0","0","1"
"133","0","0","0","0","11"
"135","4","0","0","1","26"
"136","1","0","0","0","11"
"137","2555970","0","0","0","1"
"138","0.65","0","2","0","14"
"139","736","0","0","0","26"
"140","0.6","2","500","1000","15"
"141","0","0","0","0","11"
"142","9765002","0","0","0","1"
"143","0.5","0","0","0","14"
"144","0","0","0","0","11"
"145","6664702","0","0","0","1"
"146","0","0","0","0","11"
"147","1","0","0","1","26"
"148","0","0","2","0","7"
"149","0","0","2","0","7"
"150","12","0","0","1","26"
"151","2510830","0","0","0","1"
"152","0.5","0","0","0","14"
"153","8","0","0","1","26"
"154","0","0","0","0","11"
"155","6488170","0","0","0","1"
"156","7647733","20","600","100","8"
"157","1.039539E+07","0","0","0","1"
"158","743","1","0","0","12"
"159","9074175","0","0","0","1"
"160","0","0","0","0","11"
"161","4","0","0","1","26"
"162","4","0","0","1","26"
"163","8","0","0","1","26"
"164","1","1","0","0","12"
"165","1","0","0","0","14"
"166","6447714","0","0","0","1"
"167","1571","0","0","3","26"
"168","3086335","0","0","0","1"
"169","1.675164E+07","20","10000","100","8"
"170","7","0","0","0","9"
"171","1.245262E+07","15","400","96","8"
"172","1.677722E+07","0","0","0","1"
"173","7243175","0","2","0","1"
"174","7237231","0","0","0","1"
"175","9969830","0","0","0","1"
"176","4066815","0","0","0","1"
"177","13","0","0","1","26"
"178","0","20","600","100","8"
"179","1.667484E+07","15","400","96","8"
"180","0","0","0","0","14"
"181","1","1","0","0","7"
"182","4474462","0","0","0","1"
"183","6445567","0","0","0","1"
"184","1.67447E+07","0","0","0","1"
"185","356","0","0","3","26"
"186","0.5","0","0","0","14"
"187","1.320512E+07","0","0","0","1"
"188","1.671168E+07","0","0","0","1"
"189","2166783","0","0","0","1"
"190","323600","0","0","0","1"
"191","2962175","0","0","0","1"
