Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8_0,Unknown8_1,Unknown9,Unknown10_0,Unknown10_1,Unknown10_2,Unknown10_3,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17_0,Unknown17_1,Unknown17_2,Unknown17_3,Unknown18_0,Unknown18_1,Unknown18_2,Unknown18_3,Unknown19_0,Unknown19_1,Unknown19_2,Unknown19_3,Unknown20,Unknown21_0,Unknown21_1,Unknown21_2,Unknown21_3,Unknown22_0,Unknown22_1,Unknown22_2,Unknown22_3,Unknown23_0,Unknown23_1,Unknown23_2,Unknown23_3,Unknown24_0,Unknown24_1,Unknown25,Unknown26_0,Unknown26_1,Unknown26_2,Unknown26_3,Unknown27_0,Unknown27_1,Unknown27_2,Unknown27_3,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38_0,Unknown38_1,Unknown38_2,Unknown39,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44,Unknown45_0,Unknown45_1,Unknown45_2,Unknown45_3,Unknown46,Unknown47,Unknown48,Unknown49_0,Unknown49_1,Unknown49_2,Unknown49_3,Unknown50_0,Unknown50_1,Unknown50_2,Unknown50_3,Unknown51_0,Unknown51_1,Unknown51_2,Unknown51_3,Unknown52,Unknown53,Unknown54,Unknown55,Unknown56,Unknown57,Unknown58,Unknown59,Unknown60,Unknown61,Unknown62,Unknown63,Unknown64,Unknown65,Unknown66_0,Unknown66_1,Unknown66_2,Unknown67_0,Unknown67_1,Unknown67_2,Unknown67_3,Unknown68_0,Unknown68_1,Unknown68_2,Unknown68_3,Unknown69_0,Unknown69_1,Unknown69_2,Unknown69_3,Unknown70,Unknown71_0,Unknown71_1,Unknown71_2,Unknown71_3,Unknown72,Unknown73_0,Unknown73_1,Unknown73_2,Unknown73_3,Unknown74_0,Unknown74_1,Unknown74_2,Unknown74_3,Unknown74_4,Unknown74_5,Unknown75,Unknown76,Unknown77,Unknown78_0,Unknown78_1
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Requires Rogue","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"923","33555378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"924","18875469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Requires Shaman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2978","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5793","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","999","999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5523","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Must be level 80 to enter...","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8566","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6572","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Must have 400 Jewelcrafting","0","0","755","0","0","0","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
