Id,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown1_4,Unknown1_5,Unknown1_6,Unknown1_7,Unknown1_8,Unknown1_9,Unknown1_10,Unknown1_11,Unknown1_12,Unknown1_13,Unknown1_14,Unknown1_15,Unknown2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown3_3,Unknown3_4,Unknown3_5,Unknown3_6,Unknown3_7,Unknown3_8,Unknown3_9,Unknown4,Unknown5,Unknown6_0,Unknown6_1,Unknown6_2,Unknown6_3,Unknown6_4,Unknown6_5,Unknown6_6,Unknown6_7,Unknown6_8,Unknown6_9,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11
"62","526449280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","calendar_fireworks","18","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","12","11","10","-1","1"
"141","531888768","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Calendar_WinterVeil","404","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","14","13","5","-1","1"
"181","120715264","136689664","154564608","170981376","188086272","204601344","221264512","238369408","254900864","270989952","288635520","305166976","322271872","0","0","0","Calendar_Noblegarden","168","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","15","14","5","-1","1"
"201","71333888","88094720","104298496","121059328","138475520","155236352","171997184","188758016","204945408","221723264","238484096","255244928","272661120","289421952","305625728","322386560","Calendar_ChildrensWeek","168","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","13","12","5","-1","1"
"283","127301632","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","96","1752","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","22","22","0","2","1"
"284","127956992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","96","1752","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","25","25","0","2","1"
"285","127072256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","96","1752","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","23","23","0","2","1"
"301","536855424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","calendar_fishingextravaganza","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","6","4","0","0","1"
"321","92456960","110118912","126208000","142723072","159823872","176420864","193034240","210106368","226704000","243300992","260389504","276970112","294075008","310672000","0","0","Calendar_HarvestFestival","168","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","17","16","5","-1","1"
"324","529824384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Calendar_HallowsEnd","337","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","16","15","5","-1","1"
