Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown16
"4","Durotar","-1962.5","-7250","1808.33","-1716.67","1","14","-1","0","13","0","1","10","0","0","0"
"9","Mulgore","2204.167","-3245.833","-168.75","-3802.083","1","215","-1","0","13","0","1","10","0","0","0"
"11","Barrens","202.0833","-5543.75","1810.417","-2020.833","1","17","-1","0","13","0","10","20","0","0","0"
"13","Kalimdor","17066.6","-19733.2","12799.9","-11733.3","1","0","-1","0","0","0","0","0","0","0","0"
"14","Azeroth","18171.97","-22569.21","11176.34","-15973.34","0","0","-1","0","0","0","0","0","0","0","0"
"16","Arathi","-1127.083","-4604.167","-141.6667","-2460.417","0","45","-1","0","14","0","25","30","0","0","0"
"17","Badlands","-1902.083","-4972.917","-5854.167","-7900","0","3","-1","0","14","0","44","48","0","0","0"
"19","BlastedLands","-1193.75","-4856.25","-10583.33","-13025","0","4","-1","0","14","0","54","60","0","0","0"
"20","Tirisfal","3033.333","-1485.417","3837.5","824.9999","0","85","-1","0","14","0","1","10","0","0","0"
"21","Silverpine","3450","-750","1666.667","-1133.333","0","130","-1","0","14","0","10","20","0","0","0"
"22","WesternPlaguelands","416.6667","-3883.333","3366.667","500","0","28","-1","0","14","0","35","40","0","0","0"
"23","EasternPlaguelands","-2287.5","-6318.75","3704.167","1016.667","0","139","-1","0","14","0","40","45","0","0","0"
"24","HillsbradFoothills","1850","-3012.5","1481.25","-1760.417","0","267","-1","0","14","0","20","25","0","0","0"
"26","Hinterlands","-1575","-5425","1466.667","-1100","0","47","-1","0","14","0","30","35","0","0","0"
"27","DunMorogh","2137.5","-2760.417","-3941.667","-7206.25","0","1","-1","0","14","0","1","10","0","0","0"
"28","SearingGorge","-322.9167","-2554.167","-6100","-7587.5","0","51","-1","0","14","0","47","51","0","0","0"
"29","BurningSteppes","-464.5833","-3616.667","-6985.417","-9085.416","0","46","-1","0","14","0","49","52","0","0","0"
"30","Elwynn","1535.417","-1935.417","-7939.583","-10254.17","0","12","-1","0","14","0","1","10","0","0","0"
"32","DeadwindPass","-833.3333","-3333.333","-9866.666","-11533.33","0","41","-1","0","14","128","55","56","0","0","0"
"34","Duskwood","833.3333","-1866.667","-9716.666","-11516.67","0","10","-1","0","14","0","20","25","0","0","0"
"35","LochModan","-1993.75","-4752.083","-4487.5","-6327.083","0","38","-1","0","14","0","10","20","0","0","0"
"36","Redridge","-1479.167","-4047.917","-8514.583","-10227.08","0","44","-1","0","14","0","15","20","0","0","0"
"37","StranglethornJungle","1743.75","-2356.25","-11016.67","-13750","0","33","-1","0","14","0","25","30","0","0","0"
