Id,Unknown0,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2,Unknown3
"1","Cameras\PalantirOfAzora.mdx","-9282.42","-3329.66","116.341","4.60767","0"
"2","Cameras\FlybyUndead.mdx","1658.58","1662.91","141.234","3.14159","3358"
"122","Cameras\FlybyNightElf.mdx","10474","813.131","1318.66","3.735","3800"
"142","Cameras\FlyByHuman.mdx","-8945.52","-118.786","82.9306","0.191986","3840"
"162","Cameras\FlyByGnome.mdx","-5784.35","424.736","426.592","0.925025","3841"
"182","Cameras\FlyByTroll.mdx","-774.695","-4911.21","19.6127","2.94961","4080"
"202","Cameras\FlyByTauren.mdx","-2873.26","-266.821","53.9164","3.15905","4122"
"224","Cameras\Scry_cam.mdx","-153.586","-3450.84","139.331","3.35103","0"
"234","Cameras\FlyByDwarf.mdx","-5579.16","-455.776","406.476","4.71239","3740"
"235","Cameras\FlybyOrc.mdx","-603.411","-4193.41","41.092","4.67748","3760"
"243","Cameras\FlyByBloodElf.mdx","8099.13","-6942.68","66.7039","1.13446","9156"
"244","Cameras\FlybyDraenei.mdx","-3963.27","-13938.7","99.6888","5.20108","9155"
"245","Cameras\FlyBySunwell5Man.mdx","-149.784","-354.238","-77.789","5.34071","12213"
"246","Cameras\FlyByDeathKnight.mdx","2301.89","-5346.32","88.9573","2.16421","12938"
"247","Cameras\FlyByGilneas_Telescope.mdx","-1585.11","2552.59","127.381","3.83972","0"
"248","Cameras\FlybyGilneasShort.mdx","-1925.52","2559.49","1.67417","-1.98968","0"
"249","Cameras\Abyssal_Maw_CameraFly_01.mdx","-438.542","809.109","259.13","3.14159","23418"
"250","Cameras\FlyByTroll.mdx","-1085.88","-5513.45","12.111","0","0"
"251","Cameras\FlyByTroll.mdx","-1085.88","-5513.45","12.111","0","4080"
"253","Cameras\FlyByWorgen.mdx","-1435.52","1671.13","0.149643","3.10669","23105"
"277","Cameras\FlyBy_Maelstrom.mdx","901.28","778.66","-316.327","3.14159","23679"
"278","Cameras\FlyByGnome.mdx","-5183.45","606.648","410.028","1.48353","0"
"279","Cameras\FlyByGnome.mdx","-5183.45","606.648","410.028","1.48353","3841"
"288","cameras\flybygoblin.mdx","-8416.85","1364.21","102.208","4.69494","23106"
"306","cameras\firelands_bridge_camera_01.mdx","0","0","0","0","0"
"307","cameras\firelands_bridge_camera_01.mdx","131.795","-60.7378","61.6589","3.1765","0"
"343","cameras\flybypandaren.mdx","1441.09","3371.7","170.698","1.25664","31699"
"345","cameras\flybygateofthesettingsun.mdx","963.976","2300.16","299.306","4.71239","34035"
"355","cameras\flyby_mogusecret_door.mdx","5410.05","4889.69","45.1807","3.14159","36894"
"356","cameras\flyby_mogubridge_collapse.mdx","5817.28","5203.9","18.4172","3.14159","36893"
"357","cameras\flyby_mogubridge_collapse02.mdx","6047.3","5185.92","141.588","3.14159","0"
"358","cameras\flyby_mogusecret_door02.mdx","5552.21","4728.16","62.7931","3.14159","0"
"252","Cameras\FlyByTroll.mdx","-1085.88","-5513.45","12.111","0","0"
"308","cameras\firelands_bridge_camera_01.mdx","131.795","-60.7378","61.6589","3.1765","0"
