Id,Unknown0,Unknown1,Unknown2_0,Unknown2_1,Unknown2_2,Unknown2_3
"1","194301","0","0","0","0","-1"
"2","194301","7467","0","0.726931","0","-0.686711"
"3","194301","10933","0","0.999424","0","-0.033944"
"4","194301","12167","0","0.723559","0","0.690262"
"5","194301","15733","0","0.015733","0","0.999876"
"6","194301","21067","0","0.012665","0","0.99992"
"7","194301","22833","-0.007798","-0.00998","-0.615656","-0.787914"
"8","194301","25533","-0.012425","0.002456","-0.98094","0.193898"
"9","194303","0","0","0","0","1"
"10","194303","8233","0.717614","0","0","-0.696441"
"11","194303","10300","-0.485169","0.528755","0.513154","0.470854"
"12","194303","11533","-0.675307","0.057371","0.734586","0.032437"
"13","194303","15667","-0.00878","0.020834","0.997787","0.062526"
"14","194303","24767","-0.384733","0.214714","0.789728","0.426859"
"15","194303","27667","-0.010178","0.00338","0.365398","0.93079"
"21","194345","0","0","0","0","1"
"22","194345","37700","0","0","0","1"
"23","194345","38933","0","0","0.001038","0.999999"
"24","194345","39333","0","0","0.008239","0.999966"
"25","194345","40133","0","0","0.032957","0.999457"
"26","194345","40733","0","0","0.056806","0.998385"
"27","194345","41400","0","0","0.090315","0.995913"
"28","194345","42133","0","0","0.13452","0.990911"
"29","194345","43067","0","0","0.197159","0.980372"
"30","194345","44133","0","0","0.274934","0.961463"
"31","194345","45467","0","0","0.37852","0.925593"
"32","194345","48067","0","0","0.575864","0.817545"
"33","194345","49167","0","0","0.654187","0.756333"
"34","194345","51667","0","0","0.816882","0.576804"
"35","194345","52700","0","0","0.868458","0.495762"
"36","194345","54667","0","0","0.940861","0.338793"
"37","194345","55433","0","0","0.96002","0.279932"
"38","194345","56400","0","0","0.977255","0.212067"
"39","194345","57567","0","0","0.990907","0.134551"
"40","194345","58433","0","0","0.996507","0.083509"
"41","194345","59067","0","0","0.998678","0.051399"
"42","194345","59767","0","0","0.999698","0.024564"
"43","194345","60333","0","0","0.999971","0.007575"
"44","194345","60767","0","0","1","0.000648"
"45","194345","102167","0","0","1","-0.00083"
"46","194345","102567","0","0","0.999965","-0.00838"
"47","194345","103367","0","0","0.999396","-0.034756"
"48","194345","103900","0","0","0.998345","-0.057501"
"49","194345","104500","0","0","0.995951","-0.089901"
"50","194345","105233","0","0","0.990513","-0.137416"
"51","194345","106000","0","0","0.981309","-0.192438"
"52","194345","106800","0","0","0.966671","-0.256023"
"53","194345","108067","0","0","0.931761","-0.363073"
"54","194345","110767","0","0","-0.811569","0.584257"
"55","194345","111800","0","0","-0.748694","0.662916"
"56","194345","114200","0","0","-0.561079","0.827762"
"57","194345","115067","0","0","-0.486966","0.873421"
"58","194345","116700","0","0","-0.347403","0.937716"
"59","194345","117433","0","0","-0.286473","0.958088"
"60","194345","118300","0","0","-0.220609","0.975362"
"61","194345","119333","0","0","-0.146763","0.989172"
"62","194345","120300","0","0","-0.086352","0.996265"
"63","194345","120933","0","0","-0.051492","0.998673"
"64","194345","121567","0","0","-0.024377","0.999703"
"65","194345","122067","0","0","-0.007881","0.999969"
"66","194345","122467","0","0","-0.000751","1"
"67","194345","128333","0","0","0","1"
"81","194350","33","0","0","4E-06","1"
"82","194350","37733","0","0","4E-06","1"
"83","194350","38967","0","0","0.001042","0.999999"
"84","194350","39367","0","0","0.008243","0.999966"
"85","194350","40167","0","0","0.032961","0.999457"
"86","194350","40767","0","0","0.056811","0.998385"
"87","194350","41433","0","0","0.090319","0.995913"
"88","194350","42167","0","0","0.134525","0.99091"
"89","194350","43100","0","0","0.197163","0.980371"
"90","194350","44167","0","0","0.274938","0.961462"
"91","194350","45500","0","0","0.378524","0.925592"
"92","194350","48100","0","0","0.575868","0.817543"
"93","194350","49200","0","0","0.65419","0.75633"
"94","194350","51700","0","0","0.816885","0.576801"
"95","194350","52733","0","0","0.86846","0.495759"
"96","194350","54700","0","0","0.940862","0.338789"
"97","194350","55467","0","0","0.960021","0.279928"
"98","194350","56433","0","0","0.977256","0.212063"
"99","194350","57600","0","0","0.990907","0.134547"
"100","194350","58467","0","0","0.996507","0.083505"
"101","194350","59100","0","0","0.998678","0.051395"
"102","194350","59800","0","0","0.999698","0.02456"
"103","194350","60367","0","0","0.999971","0.007571"
"104","194350","60800","0","0","1","0.000644"
"105","194350","102200","0","0","1","-0.000834"
"106","194350","102600","0","0","0.999965","-0.008384"
"107","194350","103400","0","0","0.999396","-0.03476"
"108","194350","103933","0","0","0.998345","-0.057505"
"109","194350","104533","0","0","0.99595","-0.089906"
"110","194350","105267","0","0","0.990513","-0.13742"
"111","194350","106033","0","0","0.981308","-0.192442"
"112","194350","106833","0","0","0.96667","-0.256027"
"113","194350","108100","0","0","0.931759","-0.363077"
"114","194350","110800","0","0","-0.811566","0.584261"
"115","194350","111833","0","0","-0.748691","0.662919"
"116","194350","114233","0","0","-0.561076","0.827765"
"117","194350","115100","0","0","-0.486962","0.873423"
"118","194350","116733","0","0","-0.347399","0.937717"
"119","194350","117467","0","0","-0.286469","0.958089"
"120","194350","118333","0","0","-0.220605","0.975363"
"121","194350","119367","0","0","-0.146759","0.989172"
"122","194350","120333","0","0","-0.086348","0.996265"
"123","194350","120967","0","0","-0.051488","0.998674"
"124","194350","121600","0","0","-0.024373","0.999703"
"125","194350","122100","0","0","-0.007877","0.999969"
"126","194350","122500","0","0","-0.000747","1"
"127","194350","128367","0","0","4E-06","1"
"301","194369","0","0","0","0","1"
"302","194369","33","0","0","0","1"
"303","194369","37733","0","0","0","1"
"304","194369","38967","0","0","0.001038","0.999999"
"305","194369","39367","0","0","0.008239","0.999966"
"306","194369","40167","0","0","0.032957","0.999457"
"307","194369","40767","0","0","0.056806","0.998385"
"308","194369","41433","0","0","0.090315","0.995913"
"309","194369","42167","0","0","0.13452","0.990911"
"310","194369","43100","0","0","0.197159","0.980372"
"311","194369","44167","0","0","0.274934","0.961463"
"312","194369","45500","0","0","0.37852","0.925593"
"313","194369","48100","0","0","0.575864","0.817545"
"314","194369","49200","0","0","0.654187","0.756333"
"315","194369","51700","0","0","0.816882","0.576804"
"316","194369","52733","0","0","0.868458","0.495762"
"317","194369","54700","0","0","0.940861","0.338793"
"318","194369","55467","0","0","0.96002","0.279932"
"319","194369","56433","0","0","0.977255","0.212067"
"320","194369","57600","0","0","0.990907","0.134551"
"321","194369","58467","0","0","0.996507","0.083509"
"322","194369","59100","0","0","0.998678","0.051399"
"323","194369","59800","0","0","0.999698","0.024564"
"324","194369","60367","0","0","0.999971","0.007575"
"325","194369","60800","0","0","1","0.000648"
"326","194369","102200","0","0","1","-0.00083"
"327","194369","102600","0","0","0.999965","-0.00838"
"328","194369","103400","0","0","0.999396","-0.034756"
"329","194369","103933","0","0","0.998345","-0.057501"
"330","194369","104533","0","0","0.995951","-0.089901"
"331","194369","105267","0","0","0.990513","-0.137416"
"332","194369","106033","0","0","0.981309","-0.192438"
"333","194369","106833","0","0","0.966671","-0.256023"
"334","194369","108100","0","0","0.931761","-0.363073"
"335","194369","110800","0","0","-0.811569","0.584257"
"336","194369","111833","0","0","-0.748694","0.662916"
"337","194369","114233","0","0","-0.561079","0.827762"
"338","194369","115100","0","0","-0.486966","0.873421"
"339","194369","116733","0","0","-0.347403","0.937716"
"340","194369","117467","0","0","-0.286473","0.958088"
"341","194369","118333","0","0","-0.220609","0.975362"
"342","194369","119367","0","0","-0.146763","0.989172"
"343","194369","120333","0","0","-0.086352","0.996265"
"344","194369","120967","0","0","-0.051492","0.998673"
"345","194369","121600","0","0","-0.024377","0.999703"
"346","194369","122100","0","0","-0.007881","0.999969"
"347","194369","122500","0","0","-0.000751","1"
"348","194369","128367","0","0","0","1"
"393","194440","0","0","0","0","1"
"394","194440","42933","0","0","0.025144","0.999684"
"395","194440","48033","0","0","0.380247","0.924885"
"396","194440","52533","0","0","0.875203","0.483757"
"397","194440","56200","0","0","0.999098","0.042468"
"398","194440","105300","0","0","0.999998","-0.002058"
"399","194440","107100","0","0","0.991232","-0.132132"
"400","194440","114567","0","0","-0.341502","0.939881"
"401","194440","117367","0","0","-0.043263","0.999064"
"402","194440","128333","0","0","0","1"
"549","193460","0","0","0","0","1"
"550","193460","33","0","0","0","1"
"551","193460","67","0","0","0","1"
"558","193459","1600","0","0","0","1"
"559","193459","1633","0","0","0","1"
"560","193459","1667","0","0","0","1"
"567","194469","0","0","0","0","1"
"568","194469","39467","0","0","0","1"
"569","194469","43767","0","0","0.060287","0.998181"
"570","194469","48367","0","0","0.412416","0.910996"
"571","194469","53167","0","0","0.920281","0.391259"
"572","194469","56300","0","0","0.999383","0.035128"
"573","194469","56533","0","0","1","0"
"574","194469","104800","0","0","1","0"
"575","194469","107067","0","0","0.991694","-0.128621"
"576","194469","114000","0","0","-0.41663","0.909076"
"577","194469","117467","0","0","-0.035721","0.999362"
"578","194469","119500","0","0","0","1"
"579","194469","122267","0","0","0","1"
"580","194469","128333","0","0","0","1"
"681","194570","0","0","0","0","1"
"682","194570","39467","0","0","0","1"
"683","194570","43767","0","0","0.060287","0.998181"
"684","194570","48367","0","0","0.412416","0.910996"
"685","194570","53167","0","0","0.920281","0.391259"
"686","194570","56300","0","0","0.999383","0.035128"
"687","194570","56533","0","0","1","0"
"688","194570","104800","0","0","1","0"
"689","194570","107067","0","0","0.991694","-0.128621"
"690","194570","114000","0","0","-0.41663","0.909076"
"691","194570","117467","0","0","-0.035721","0.999362"
"692","194570","119500","0","0","0","1"
"693","194570","122267","0","0","0","1"
"694","194570","128333","0","0","0","1"
"1141","183490","0","0","0","0","1"
"1142","183407","0","0","0","0","1"
"1143","183407","6633","0","0","0","1"
"1144","183407","6833","0","0","0.003566","0.999994"
"1145","183407","7333","0","0","-0.005088","0.999987"
"1146","183407","8167","0","0","-0.000535","1"
"1147","183407","43333","0","0","0","1"
"2600","204242","0","0","0","0","1"
"2601","204242","6700","0","0","0","1"
"2680","183169","0","0","0","0","-1"
"2681","183169","25000","0","0","0","-1"
"2712","191278","0","0","0","0","1"
"2713","191278","3000","0","0","0","1"
"2717","216488","0","0","0","0","1"
"2718","216488","120","0","0","-0.031411","0.999507"
"2719","216488","240","0","0","-0.062791","0.998027"
"2720","216488","360","0","0","-0.094108","0.995562"
"2721","216488","480","0","0","-0.125333","0.992115"
"2722","216488","600","0","0","-0.156434","0.987688"
"2723","216488","720","0","0","-0.187381","0.982287"
"2724","216488","840","0","0","-0.218143","0.975917"
"2725","216488","960","0","0","-0.24869","0.968583"
"2726","216488","1080","0","0","-0.278991","0.960294"
"2727","216488","1200","0","0","-0.309017","0.951057"
"2728","216488","1320","0","0","-0.338738","0.940881"
"2729","216488","1440","0","0","-0.368125","0.929776"
"2730","216488","1560","0","0","-0.397148","0.917755"
"2731","216488","1680","0","0","-0.425779","0.904827"
"2732","216488","1800","0","0","-0.453991","0.891007"
"2733","216488","1920","0","0","-0.481754","0.876307"
"2734","216488","2040","0","0","-0.509041","0.860742"
"2735","216488","2160","0","0","-0.535827","0.844328"
"2736","216488","2280","0","0","-0.562083","0.827081"
"2737","216488","2400","0","0","-0.587785","0.809017"
"2738","216488","2520","0","0","-0.612907","0.790155"
"2739","216488","2640","0","0","-0.637424","0.770513"
"2740","216488","2760","0","0","-0.661312","0.750111"
"2741","216488","2880","0","0","-0.684547","0.728969"
"2742","216488","3000","0","0","-0.707107","0.707107"
"2743","216488","3120","0","0","-0.728969","0.684547"
"2744","216488","3240","0","0","-0.750111","0.661312"
