Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7_0,Unknown7_1,Unknown7_2,Unknown7_3,Unknown7_4,Unknown7_5,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27
"1","1","18","12","1","0.6111111","2.031278","1.822198","-6.074675","-2.917286","-0.3351798","2.776131","3.091115","2.070082","1","1","0","0","0","0","0","0","1","0","12298","123020","1","1","7","0","0","0","5069","0"
"2","1","18","12","1","0.6111111","2.031278","1.504953","-0.726862","-2.811783","-0.2924","1.90086","2.781771","2.885096","1","1","0","0","0","0","0","0","1","0","2","123105","1","1","0","0","0","0","2","0"
"3","1","18","12","1","0.6111111","2.031278","1.911771","-1.457067","-0.511171","-0.004721","1.011198","0.528218","2.763926","1","1","0","0","0","0","0","0","1","0","2","123170","1","1","0","0","0","0","3","0"
"5","1","18","12","1","0.6111111","2.031278","0","-1.347893","-0.4739803","-0.01081661","0.8194497","0.4234271","1.621151","1","1","0","0","0","0","0","0","1","0","4098","123348","1","1","0","0","0","0","5","0"
"6","1","18","12","1","0.6111111","2.031278","0","-0.757493","-1.193324","0.991577","0.6337","1.201044","3.190622","1","2","0","0","0","0","0","0","1","0","12297","123610","0","1","0","0","0","0","6","0"
"8","1","18","12","1","0.6111111","2.031278","0","-0.5887372","-0.9538041","-0.0007619616","1.084054","0.9522877","1.970587","1","1","0","0","0","0","0","0","1","0","0","124118","1","1","7","0","0","0","5066","0"
"9","1","18","12","1","0.6111111","2.031278","0","-1.899858","-1.924722","-0.331675","1.408208","1.52218","3.109601","1","1","0","0","0","0","0","0","1","0","4099","124155","1","1","4","0","0","0","9","0"
"10","1","18","12","1","0.6111111","2.031278","0.891646","-0.777","-0.700137","0.000479","0.731759","0.764516","1.7562","1","1","0","0","0","0","0","0","1","0","0","124173","1","1","7","0","0","0","10","0"
"11","1","18","12","1","0.6111111","2.031278","0","-1.438244","-0.7688168","0.0003186798","0.6961737","0.7495281","1.423711","1","1","0","0","0","0","0","0","1","0","0","124272","0","1","4","0","0","0","5068","0"
"12","1","18","12","1","0.6111111","2.031278","0","-0.560316","-1.667411","0.857127","0.604706","1.697262","4.541226","1","1","0","0","0","0","0","0","1","0","1","124329","1","1","0","0","0","0","12","0"
