Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29
"6","79374","79374","","","0","0","0","0","0","0","600","600","0","0","1","12","12","5","9","9","90","1","7","-1","-1","2","0","0","0","0"
"7","79376","79376","","","0","0","0","0","0","0","600","600","0","0","1","3","3","5","10","10","90","1","7","-1","-1","2","0","0","0","0"
"8","78008","78008","","","0","0","0","0","0","0","600","600","0","0","1","4","4","5","12","12","90","0","7","-1","-1","2","0","0","0","0"
"15","78009","78009","","","0","0","0","0","0","0","600","600","0","0","1","9","9","5","2","2","90","0","7","-1","-1","2","0","0","0","0"
"16","79359","79359","","","0","0","0","0","0","0","600","600","0","0","1","9","9","5","4","4","90","1","7","-1","-1","2","0","0","0","0"
"18","79375","79375","","","0","0","0","0","0","0","600","600","0","0","1","3","3","5","3","3","90","0","7","-1","-1","2","0","0","0","0"
"19","79371","79371","","","0","0","0","0","0","0","600","600","0","0","1","11","11","5","5","5","90","0","7","-1","-1","2","0","0","0","0"
"20","79372","79372","","","0","0","0","0","0","0","600","600","0","0","1","11","11","5","7","7","90","1","7","-1","-1","2","0","0","0","0"
"21","79373","79373","","","0","0","0","0","0","0","600","600","0","0","1","12","12","5","8","8","90","0","7","-1","-1","2","0","0","0","0"
"32","79607","79607","|cFFFFD200Zone:|r Frostfire Ridge|n","|cFFFFD200Zone:|r Frostfire Ridge|n","1066116","1066116","0","0","55","55","600","600","0","0","1","15","15","2","28","28","90","0","1","1","-1","2","0","0","0","0"
"34","79599","79611","|cFFFFD200Quest:|r Winds of Change|n|cFFFFD200Zone:|r Frostfire Ridge|n","|cFFFFD200Quest:|r Qiana Moonshadow|n|cFFFFD200Zone:|r Shadowmoon Valley","1066111","1066112","0","0","97","49","600","600","0","0","1","11","8","2","38","8","90","1","1","-1","-1","2","0","0","0","0"
"87","82738","82739","","","1066164","1066165","0","0","0","0","600","600","0","0","1","9","2","2","38","38","90","1","0","-1","-1","2","0","0","0","0"
"88","82763","82772","","","1066174","1066176","0","0","0","0","600","600","0","0","1","9","6","2","35","35","90","0","0","-1","-1","2","0","0","0","0"
"89","82736","82737","","","1066171","1066163","0","0","0","0","600","600","0","0","1","7","5","2","37","37","90","1","0","-1","-1","2","0","0","0","0"
"90","82696","82743","","","1066158","1066166","0","0","0","0","600","600","0","0","1","3","6","2","15","15","90","1","0","-1","-1","2","0","0","0","0"
"91","82642","82652","","","1066142","1066143","0","0","0","0","600","600","0","0","1","13","4","2","16","16","90","0","0","-1","-1","2","0","0","0","0"
"92","82703","82710","","","1066159","1066160","0","0","0","0","600","600","0","0","1","9","2","2","14","14","90","1","0","-1","-1","2","0","0","0","0"
"93","82793","82794","","","1066181","1066182","0","0","0","0","600","600","0","0","1","12","6","2","28","28","90","0","0","-1","-1","2","0","0","0","0"
"94","81475","82490","","","1066131","1066128","0","0","0","0","600","600","0","0","1","13","2","2","26","26","90","0","0","-1","-1","2","0","0","0","0"
"95","81477","82577","","","1066132","1066133","0","0","0","0","600","600","0","0","1","7","8","2","27","27","90","0","0","-1","-1","2","0","0","0","0"
"96","81465","82634","","","1066137","1066138","0","0","0","0","600","600","0","0","1","12","8","2","24","24","90","0","0","-1","-1","2","0","0","0","0"
"97","82637","82639","","","1066190","1066140","0","0","0","0","600","600","0","0","1","13","5","2","23","23","90","1","0","-1","-1","2","0","0","0","0"
"98","82672","82674","","","1066152","1066153","0","0","0","0","600","600","0","0","1","11","8","2","8","8","90","1","0","-1","-1","2","0","0","0","0"
"99","82661","82663","","","1066148","1066149","0","0","0","0","600","600","0","0","1","12","14","2","7","7","90","0","0","-1","-1","2","0","0","0","0"
"100","82679","82689","","","1066155","1066157","0","0","0","0","600","600","0","0","1","11","14","2","5","5","90","0","0","-1","-1","2","0","0","0","0"
"101","82665","82666","","","1066150","1066151","0","0","0","0","600","600","0","0","1","12","8","2","9","9","90","1","0","-1","-1","2","0","0","0","0"
"102","82859","82863","","","1066194","1066197","0","0","0","0","600","600","0","0","1","13","2","2","33","33","90","0","0","-1","-1","2","0","0","0","0"
"103","82835","82855","","","1066191","1066192","0","0","0","0","600","600","0","0","1","13","2","2","34","34","90","1","0","-1","-1","2","0","0","0","0"
"104","81482","82868","","","1066200","1066202","0","0","0","0","600","600","0","0","1","3","14","2","32","32","90","1","0","-1","-1","2","0","0","0","0"
"105","82761","82752","","","1066173","1066170","0","0","0","0","600","600","0","0","1","3","2","2","21","21","90","0","0","-1","-1","2","0","0","0","0"
"106","82653","82678","","","1066144","1066154","0","0","0","0","600","600","0","0","1","3","2","2","22","22","90","1","0","-1","-1","2","0","0","0","0"
