Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7_0,Unknown7_1,Unknown7_2,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown21,Unknown22
"33145","33555378","Grimfrost Hill","","0","15222","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","90","0","0","0"
"34076","18875469","The Burial Fields","","0","15961","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","90","0","0","0"
"34496","18875469","The Hills of Valuun","","0","16321","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","90","0","0","0"
"34501","33555378","Frostbite Hollow","","0","16326","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","90","0","0","0"
"34504","18875469","Bloodthorn Cave","","0","16329","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","90","0","0","0"
"34505","33555378","Forbidden Glacier","","0","16330","28902","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","90","0","0","0"
"34639","4294967295","Aruuna's Desolation","","0","16398","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","94","0","0","0"
"34660","4294967295","Zorkra's Fall","","0","16417","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","94","0","0","0"
"34667","4294967295","Court of Souls","","0","16424","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","94","0","0","0"
"34723","4294967295","Ironfist Harbor","","0","16470","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","98","0","0","0"
"34724","4294967295","The Forgotten Caves","","0","18083","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","92","0","0","0"
"34726","4294967295","Vignette: Pale Spider Broodmother","","0","18084","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","98","0","0","0"
"34728","18875469","The Shimmer Moor","","0","16472","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","90","0","0","0"
"35236","18875469","Orunai Coast","","0","16836","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","94","0","0","0"
"35237","33555378","Mor'gran Logworks","","0","16837","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","94","0","0","0"
"35379","4294967295","Hemet's Happy Hunting Grounds","","0","16917","0","32767","0","0","0","0","0","0","0","0","0","0","255","0","0","98","0","0","0"
"35637","18875469","Assault on Stonefury Cliffs","","0","17076","33050","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","100","0","0","0"
"35641","33555378","Assault on Stonefury Cliffs","","0","17483","33050","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","100","0","0","0"
"35649","4294967295","The Writhing Mire","","0","17018","0","-1","0","0","0","0","0","0","0","0","0","0","255","0","0","96","0","0","0"
