Id,Unknown0,Unknown1,Unknown2_0,Unknown2_1,Unknown2_2,Unknown3
"86","2074","0","0","0","0","0"
"87","2074","1033","0","10.08704","-1.1E-05","0"
"88","2074","1767","0","16.74902","0.528741","0"
"89","2074","2500","0","24.74522","1.56538","0"
"90","2074","3333","0","0","0","0"
"135","2093","0","0","0","0","0"
"136","2093","4400","0","0","66.73496","0"
"137","2093","6167","0","0","66.73496","0"
"138","2093","9967","0","0","0","0"
"139","2093","11933","0","0","0","0"
"165","2565","0","0","0","0","0"
"166","2565","1333","-10.08704","0","-1.1E-05","0"
"167","2565","2800","-16.74902","0","0.528741","0"
"168","2565","4233","-24.74522","0","1.56538","0"
"169","2565","6633","0","0","0","0"
"227","4172","0","0","0","0","0"
"228","4172","5000","0","0","0","0"
"229","4172","6100","2E-06","-2E-06","-1.754786","0"
"230","4172","6933","5E-06","-5E-06","-5.176656","0"
"231","4172","12867","2E-06","-2E-06","-56.81129","0"
"232","4172","13833","2E-06","-2E-06","-59.846","0"
"233","4172","15000","2E-06","-2E-06","-61.24432","0"
"234","4172","20000","2E-06","-2E-06","-61.24432","0"
"235","4172","21333","0","0","-59.83321","0"
"236","4172","22233","0","0","-56.73523","0"
"237","4172","28133","0","0","-5.24749","0"
"238","4172","28800","0","0","-1.585038","0"
"239","4172","30033","0","0","0","0"
"240","4173","0","0","0","0","0"
"241","4173","5000","0","0","0","0"
"242","4173","5900","0","0","1.201138","0"
"243","4173","6667","0","0","4.690253","0"
"244","4173","10567","-3E-06","2E-06","32.55092","0"
"245","4173","13100","-3E-06","2E-06","53.46752","0"
"246","4173","14067","-3E-06","2E-06","59.58481","0"
"247","4173","15000","-3E-06","2E-06","61.49813","0"
"248","4173","20000","-3E-06","2E-06","61.49813","0"
"249","4173","21000","-3E-06","2E-06","59.5493","0"
"250","4173","21800","-3E-06","2E-06","54.27323","0"
"251","4173","25267","-3E-06","2E-06","29.10911","0"
"252","4173","27933","0","0","8.591193","0"
"253","4173","28967","0","0","1.968553","0"
"254","4173","30000","0","0","0","0"
"21641","128970","0","0","0","0","0"
"21642","128970","1333","0","0","0","0"
"21643","128970","3333","0.443128","0.536559","-11.74923","0"
"21644","128970","4667","0.443128","0.536559","-11.74923","0"
"21645","128970","6667","0","0","0","0"
"42758","4170","0","0","0","0","164"
"42759","4170","5000","0","0","0","162"
"42760","4170","6100","2E-06","-2E-06","-1.754786","162"
"42761","4170","6933","5E-06","-5E-06","-5.176656","162"
"42762","4170","12867","2E-06","-2E-06","-56.81129","162"
"42763","4170","13833","2E-06","-2E-06","-59.846","162"
"42764","4170","15000","2E-06","-2E-06","-61.24432","164"
"42765","4170","20000","2E-06","-2E-06","-61.24432","162"
"42766","4170","21333","0","0","-59.83321","162"
"42767","4170","22233","0","0","-56.73523","162"
"42768","4170","28133","0","0","-5.24749","162"
"42769","4170","28800","0","0","-1.585038","162"
"42770","4170","30033","0","0","0","162"
"42771","4171","0","0","0","0","164"
"42772","4171","5000","0","0","0","162"
"42773","4171","5900","0","0","1.201138","162"
"42774","4171","6667","0","0","4.690253","162"
"42775","4171","10567","0","3E-06","32.55092","162"
"42776","4171","13100","0","3E-06","53.46752","162"
"42777","4171","14067","0","3E-06","59.58481","162"
"42778","4171","15000","0","3E-06","61.49813","164"
"42779","4171","20000","0","3E-06","61.49813","162"
"42780","4171","21000","0","3E-06","59.5493","162"
"42781","4171","21800","0","3E-06","54.27323","162"
"42782","4171","25267","0","3E-06","29.10911","162"
"42783","4171","27933","0","0","8.591193","162"
"42784","4171","28967","0","0","1.968553","162"
"42785","4171","30000","0","0","0","162"
"43472","80023","0","0","0","0","164"
"43473","80023","6667","0","0","0","162"
"43474","80023","11000","-3E-06","0","-98.74786","162"
"43475","80023","11233","0.00651","0","-99.67161","162"
"43476","80023","11400","0.004442","0","-99.97195","162"
"43477","80023","11600","0.002892","0","-100.0799","164"
"43478","80023","11667","-3E-06","0","-100.0611","164"
"43479","80023","11700","-3E-06","0","-100.0821","164"
"43480","80023","21667","-3E-06","0","-100.0821","164"
"43481","80023","21767","-3E-06","0","-100.0897","162"
"43482","80023","21900","-3E-06","0","-99.6677","162"
"43483","80023","26333","0","0","-1.180162","162"
"43484","80023","26467","1.7E-05","3E-06","-0.328159","162"
"43485","80023","26600","0","0","-0.043593","162"
"43486","80023","26667","0","0","0","162"
"43487","80022","0","0","0","0","0"
"43488","80022","6600","0","0","0","0"
"43489","80022","6833","-0.004069","0.003554","-0.797146","0"
"43490","80022","7000","0","0","-3.62975","0"
"43491","80022","7233","0","0","-12.07966","0"
"43492","80022","7333","0","0","-11.73156","0"
"43493","80022","7433","0","0","-12.07966","0"
"43494","80022","7500","0","0","-11.91869","0"
"43495","80022","7600","0","0","-12.07966","0"
"43496","80022","25667","0","0","-12.07966","0"
"43497","80022","25867","0","0","-12.02459","0"
"43498","80022","26000","0","0","-11.76745","0"
"43499","80022","26567","0","0","-0.28282","0"
"43500","80022","26633","0","0","-0.041307","0"
"43501","80022","26667","0","0","0","0"
"58505","184330","0","0","0","0","0"
"58506","184330","4333","0","0","0.007865","0"
"58507","184330","4367","0","0","0.015802","0"
"58508","184330","4400","0","0","0.03938","0"
"58509","184330","4433","0","0","0.078476","0"
"58510","184330","4467","0","0","0.132954","0"
"58511","184330","4500","0","0","0.202677","0"
"58512","184330","4533","0","0","0.287522","0"
"58513","184330","4567","0","0","0.387353","0"
"58514","184330","4600","0","0","0.502033","0"
"58515","184330","4633","0","0","0.631447","0"
"58516","184330","4667","0","0","0.77545","0"
"58517","184330","4700","0","0","0.933914","0"
"58518","184330","4733","0","0","1.106709","0"
"58519","184330","4767","0","0","1.293697","0"
"58520","184330","4800","0","0","1.494757","0"
"58521","184330","4833","0","0","1.709744","0"
"58522","184330","4867","0","0","1.938545","0"
"58523","184330","4900","0","0","2.181014","0"
"58524","184330","4933","0","0","2.437021","0"
"58525","184330","4967","0","0","2.706446","0"
"58526","184330","5000","0","0","2.989143","0"
"58527","184330","5033","0","0","3.284983","0"
"58528","184330","5067","0","0","3.593844","0"
"58529","184330","5100","0","0","3.915589","0"
"58530","184330","5133","0","0","4.250081","0"
"58531","184330","5167","0","0","4.597198","0"
"58532","184330","5200","0","0","4.956802","0"
"58533","184330","5233","0","0","5.328766","0"
"58534","184330","5267","0","0","5.712951","0"
"58535","184330","5300","0","0","6.109236","0"
"58536","184330","5333","0","0","6.517484","0"
"58537","184330","5367","0","0","6.937556","0"
"58538","184330","5400","0","0","7.369341","0"
"58539","184330","5433","0","0","7.812684","0"
"58540","184330","5467","0","0","8.267472","0"
"58541","184330","5500","0","0","8.733561","0"
"58542","184330","5533","0","0","9.210828","0"
"58543","184330","5567","0","0","9.699135","0"
"58544","184330","5600","0","0","10.19835","0"
"58545","184330","5633","0","0","10.70835","0"
"58546","184330","5667","0","0","11.229","0"
"58547","184330","5700","0","0","11.76016","0"
"58548","184330","5733","0","0","12.30172","0"
"58549","184330","5767","0","0","12.85352","0"
"58550","184330","5800","0","0","13.41545","0"
"58551","184330","5833","0","0","13.98737","0"
"58552","184330","5867","0","0","14.56914","0"
"58553","184330","5900","0","0","15.16065","0"
"58554","184330","5933","0","0","15.76176","0"
"58555","184330","5967","0","0","16.37233","0"
"58556","184330","6000","0","0","16.99223","0"
"58557","184330","6033","0","0","17.62133","0"
"58558","184330","6067","0","0","18.25951","0"
"58559","184330","6100","0","0","18.90663","0"
"58560","184330","6133","0","0","19.56255","0"
"58561","184330","6167","0","0","20.22715","0"
"58562","184330","6200","0","0","20.9003","0"
"58563","184330","6233","0","0","21.58186","0"
"58564","184330","6267","0","0","22.2717","0"
"58565","184330","6300","0","0","22.96969","0"
"58566","184330","6333","0","0","23.67571","0"
"58567","184330","6367","0","0","24.38961","0"
"58568","184330","6400","0","0","25.11126","0"
"58569","184330","6433","0","0","25.84054","0"
"58570","184330","6467","0","0","26.57732","0"
"58571","184330","6500","0","0","27.32146","0"
"58572","184330","6533","0","0","28.07282","0"
"58573","184330","6567","0","0","28.83129","0"
"58574","184330","6600","0","0","29.59672","0"
"58575","184330","6633","0","0","30.36899","0"
"58576","184330","6667","0","0","31.14797","0"
"58577","184330","6733","0","0","32.7255","0"
"58578","184330","6800","0","0","34.32828","0"
"58579","184330","6867","0","0","35.95525","0"
"58580","184330","6933","0","0","37.60535","0"
"58581","184330","7000","0","0","39.27754","0"
"58582","184330","7067","0","0","40.97076","0"
"58583","184330","7133","0","0","42.68398","0"
"58584","184330","7200","0","0","44.41611","0"
"58585","184330","7267","0","0","46.16613","0"
"58586","184330","7333","0","0","47.93297","0"
"58587","184330","7400","0","0","49.71559","0"
"58588","184330","7467","0","0","51.51293","0"
"58589","184330","7567","0","0","54.23425","0"
"58590","184330","7667","0","0","56.98279","0"
"58591","184330","7767","0","0","59.75499","0"
"58592","184330","7867","0","0","62.54729","0"
"58593","184330","8000","0","0","66.29552","0"
"58594","184330","8133","0","0","70.0648","0"
