Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8,Unknown1,Unknown2
"1","1","0.908","0","0","0","0","0","0","0","1","1"
"2","1","1","0.878","1","0","4.512","1.1","0.015","0.012","1","4"
"3","1","67","0.035","0.16","1","0","0","0","0","1","5"
"4","1","70","0.035","0.163","1","0","0","0","0","2","5"
"5","1","1","1","1","0","22.044","0.838","0.133","0.005","2","4"
"6","1","0.884","0","0","0","0","0","0","0","3","1"
"7","1","1","0.491","1","0","22.044","1.066","0.024","0.01","3","4"
"8","1","65","0.037","0.119","1","0","0","0","0","3","5"
"9","1","70","0.035","0.163","1","0","0","0","0","4","5"
"10","1","1","1","1","0","22.044","0.838","0.03","0.01","4","4"
"11","1","0.918","0","0","0","0","0","0","0","5","1"
"12","1","1","0.881","1","0","22.044","1.066","0.021","0.005","5","4"
"13","1","67","0.037","0.163","1","0","0","0","0","5","5"
"14","1","74","0.04","0.163","1","0","0","0","0","6","5"
"15","1","1","1","1","0","22.044","0.838","0.03","0.005","6","4"
"16","1","0.884","0","0","0","0","0","0","0","7","1"
"17","1","1","0.612","0.571","0","22.044","1.111","0.024","0.01","7","4"
"18","1","56","0.037","0.201","1","0","0","0","0","7","5"
"19","1","70","0.04","0.163","1","0","0","0","0","8","5"
"20","1","1","1","1","0","24.093","0.838","0.131","0.01","8","4"
"21","1","0.864","0","0","0","0","0","0","0","9","1"
"22","1","1","0.785","0.577","0","22.044","1.111","0.024","0.01","9","4"
"23","1","67","0.037","0.135","1","0","0","0","0","9","5"
"24","1","70","0.037","0.16","1","0","0","0","0","10","5"
"25","1","1","1","1","0","22.044","0.838","0.03","0.005","10","4"
"26","1","0.912","0","0","0","0","0","0","0","11","1"
"27","1","1","0.682","0.796","0","22.044","1.1","0.019","0.01","11","4"
"28","1","67","0.037","0.158","1","0","0","0","0","11","5"
"29","1","72","0.04","0.158","1","0","0","0","0","12","5"
"30","1","1","0.992","1","0","22.272","0.883","0.033","0.01","12","4"
"31","1","1.134","0","0","0","0","0","0","0","13","1"
"32","1","1","0.876","1","0","22.044","1.111","0.021","0.008","13","4"
"33","1","67","0.042","0.16","1","0","0","0","0","13","5"
"34","1","72","0.042","0.165","1","0","0","0","0","14","5"
"35","1","1","1","1","0","22.044","0.838","0.026","0.01","14","4"
"36","1","0.97","0","0","0","0","0","0","0","15","1"
"37","1","1","0.785","0.817","0","22.044","1.111","0.021","0.005","15","4"
"38","1","67","0.035","0.119","1","0","0","0","0","15","5"
"39","1","72","0.04","0.165","1","0","0","0","0","16","5"
"40","1","1","1","1","0","22.044","0.838","0.028","0.008","16","4"
"41","1","0.894","0","0","0","0","0","0","0","17","1"
"42","1","1","0.881","1","0","21.816","1.1","0.03","0.01","17","4"
"43","1","65","0.035","0.16","1","0","0","0","0","17","5"
"44","1","7897.586","1","0","0","0","0","0","0","17","3"
"45","1","72","0.044","0.158","1","0","0","0","0","18","5"
"46","1","1","1","1","0","22.272","0.838","0.026","0.01","18","4"
"47","1","0.877","0","0","0","0","0","0","0","19","1"
"48","1","1","0.878","1","0","22.044","1.1","0.019","0.01","19","4"
"49","1","67","0.037","0.156","1","0","0","0","0","19","5"
"50","1","72","0.037","0.16","1","0","0","0","0","20","5"
"51","1","1","0.995","1","0","22.272","0.838","0.028","0.01","20","4"
"52","1","0.894","0","0","0","0","0","0","0","21","1"
"53","1","1","0.881","1","0","21.816","1.1","0.03","0.01","21","4"
"54","1","65","0.035","0.16","1","0","0","0","0","21","5"
"55","1","7897.586","1","0","0","0","0","0","0","21","3"
"56","1","72","0.044","0.158","1","0","0","0","0","22","5"
"57","1","1","1","1","0","22.272","0.838","0.026","0.01","22","4"
"58","1","0.908","0","0","0","0","0","0","0","23","1"
"59","1","1","0.878","1","0","4.512","1.1","0.015","0.012","23","4"
"60","1","67","0.035","0.16","1","0","0","0","0","23","5"
"61","1","70","0.035","0.163","1","0","0","0","0","24","5"
"62","1","1","1","1","0","22.044","0.838","0.133","0.005","24","4"
"63","1","0.97","0","0","0","0","0","0","0","25","1"
"64","1","1","0.785","0.817","0","22.044","1.111","0.021","0.005","25","4"
"65","1","67","0.035","0.119","1","0","0","0","0","25","5"
"66","1","72","0.04","0.165","1","0","0","0","0","26","5"
"67","1","1","1","1","0","22.044","0.838","0.028","0.008","26","4"
"70","1","500","500","1","36","80","0","0","0","28","7"
"71","1","6251","22000","120","140","0","0","0","0","28","8"
"72","1","1284","22000","36","80","0","0","0","0","29","7"
"73","1","6251","22000","120","140","0","0","0","0","29","8"
"74","1","1284","22000","36","120","0","0","0","0","30","7"
"75","1","6251","22000","120","140","0","0","0","0","30","8"
"76","1","1000","1000","1","36","80","0","0","0","31","7"
"77","1","6251","22000","120","140","0","0","0","0","31","8"
