Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"0","Full Body","-1","-1","0","-1"
"1","Upper Body","4","0","0","4"
"2","Right Shoulder","3","1","0","-1"
"3","Left Shoulder","2","1","0","-1"
"4","Head","6","1","0","-1"
"5","Right Arm","1","2","0","-1"
"6","Left Arm","0","3","0","-1"
"7","Right Hand","8","5","4","-1"
"8","Left Hand","13","6","4","-1"
"9","Jaw","7","4","0","-1"
"10","Wheel1","27","0","0","-1"
"11","Wheel2","28","0","0","-1"
"12","Wheel3","29","0","0","-1"
"13","Wheel4","30","0","0","-1"
"14","Wheel5","31","0","0","-1"
"15","Wheel6","32","0","0","-1"
"16","Wheel7","33","0","0","-1"
"17","Wheel8","34","0","0","-1"
