Id,Unknown0,Unknown1,Unknown2_0,Unknown2_1,Unknown2_2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown4,Unknown5,Unknown6,Unknown7_0,Unknown7_1,Unknown8
"1","Help help!  I'm being repressed!","","0","0","0","0","0","0","0","0","6","0","0","0"
"3927","Self-destruct sequence activated.","","0","0","0","0","0","0","0","0","5","0","0","0"
"9426","BY FIRE BE PURGED!","","0","0","0","0","0","0","0","0","7","8046","0","0"
"15708","","Come on. This way.","0","0","0","0","0","0","0","7","4","0","44118","0"
"33996","Loss of life unavoidable.","","0","0","0","0","0","0","0","0","1","0","0","0"
"33997","I do what I must.","","0","0","0","0","0","0","0","0","1","0","0","0"
"34001","You are out of time.","","0","0","0","0","0","0","0","0","1","0","0","0"
"34012","Perhaps it is your imperfections... that which grants you free will... that allows you to persevere against all cosmically calculated odds. You prevail where the Titan's own perfect creations have failed.","","0","0","0","0","0","0","0","0","1","0","0","0"
"44223","","You were a true man of the people, Liam.  Unlike any Royal I ever met.  We'll make them pay for this.","66","0","0","0","0","0","0","0","7","0","19686","0"
"50471","May the Light bless the spirits of our ancestors, for they've chosen to allow my son to rest upon this holy ground.","","0","0","0","0","0","0","1","0","7","19713","0","0"
"50472","It is here, surrounded by the heroes and patriots of Gilneas where he belongs.","","0","0","0","0","0","0","1","0","7","19714","0","0"
"50473","We'll return, Liam.  I swear this to you.","","0","0","0","0","0","0","66","0","7","19715","0","0"
"50477","Gilneas will remember your courage forever, Liam.","","0","0","0","0","0","0","66","0","7","19497","0","0"
"56129","I apologize for the deception, but it was necessary.","","0","0","0","0","0","0","0","0","7","28571","0","0"
"56130","In thousands of years, we have never seen one of your kind.","","0","0","0","0","0","0","0","0","7","28572","0","13211"
"56131","It was imperative that I first measure the bearing of your heart.","","0","0","0","0","0","0","0","0","7","28573","0","0"
"56154","Come ride with me, little one. There is something I wish you to see.","","0","0","0","0","0","0","0","0","7","28574","0","0"
"57715","We're gonna turn this place into a sinkhole, heh.","","5","0","0","0","0","0","0","0","7","30625","0","0"
"57899","[NOTE: Many placeholder visuals in this cinematic. Expecting Observatory WMO & charge up visuals.]","","0","0","0","0","0","0","0","0","7","0","0","0"
"58170","Run, slicky! I dook up your like fer breakfast!","","0","0","0","0","0","0","0","0","7","0","0","0"
"58171","I am Anduin Wrynn, Prince of Stormwind. I won't die here. Not like this!","","0","0","0","0","0","0","0","0","7","27577","0","0"
"59411","For Pandaria!","","0","0","0","0","0","0","4","0","7","31905","0","15760"
"60365","","It's working! The wound is closing!","0","0","0","0","0","0","1","0","5","0","27417","0"
"60627","","We risked everything, but we did it. Shen-zin Su will be okay.","0","0","0","0","0","0","1","0","5","0","27418","0"
"61462","Our story begins long ago in the days of the monstrous Emperor Tian.","","1","0","0","0","0","0","0","0","5","0","0","0"
"61463","The Emperor was in need of trusted messengers and deliverymen.","","1","0","0","0","0","0","0","0","5","0","0","0"
"61464","So he took a strange, diminutive cave creature he found and warped it with the powers of the Vale.","","1","0","0","0","0","0","0","0","5","0","0","0"
"61465","What he created, was the ""grummle.""","","1","0","0","0","0","0","0","0","5","0","0","0"
"61470","Let us talk about the nature of power. In my hands I hold a sword. I ask you: Who wields the power?","","1","0","0","0","0","0","0","0","5","30130","0","0"
"61471","I do, for I wield the sword!","","1","0","0","0","0","0","0","0","5","30131","0","0"
"61495","A grummle can carry five times their own weight. They never sweat. They have an outstanding sense of smell.","","1","0","0","0","0","0","0","0","5","0","0","0"
"61496","And their skulls are harder than granite. Curiously, they all appear to be related.","","1","0","0","0","0","0","0","0","5","0","0","0"
"61497","Ancient Pandaren heroes freed the grummles from slavery.","","1","0","0","0","0","0","0","0","5","0","0","0"
"61567","The Yaungol warlord shows his face! Come, let's finish this!","","0","0","0","0","0","0","0","0","7","29776","0","0"
"61643","Today they still act as traders, messengers, guides, and pack bearers for expeditions high up in Kun-Lai summit.","","1","0","0","0","0","0","0","0","5","0","0","0"
"61647","They are a very superstitious people, who often take on the names of their favorite charms, or ""Luckydos.""","","1","0","0","0","0","0","0","0","5","0","0","0"
"61649","The grummle suspicious of any luck they cannot smell, so it behooves one to meet new grummles with a pocketful of dung.","","1","0","0","0","0","0","0","0","5","0","0","0"
"61650","A very strange race, indeed.","","1","0","0","0","0","0","0","0","5","0","0","0"
"61798","Many thousands of years ago, the mogu held all the power. They ruled this land with fists of iron. But as their empire grew, they needed a way to police and control it.","","1","0","0","0","0","0","0","0","5","30132","0","0"
"61799","They used the powers of the Vale, and their own flesh-warping magics, to twist and shape a race of ferocious lizards into a living weapon. They created an army. An army of Saurok. Bloodthirsty savages created to enforce the will of the emperor.","","1","0","0","0","0","0","0","0","5","30133","0","0"
"61800","Ah, but there is a problem with creating a living weapon. Do you see?","","1","0","0","0","0","0","0","0","5","30134","0","0"
"61801","Who, now, wields the power?","","1","0","0","0","0","0","0","0","5","30135","0","0"
"61802","The heartless saurok, even with their tiny lizard brains, soon realized the truth of their position. They killed the enemies of the mogu.","","1","0","0","0","0","0","0","0","5","30136","0","0"
"61803","Then they killed the subjects of the mogu.","","1","0","0","0","0","0","0","0","5","30137","0","0"
"61804","Soon, they started killing the mogu themselves.","","1","0","0","0","0","0","0","0","5","30138","0","0"
"61805","The mogu emperor then ordered all of the saurok to be purged. He tried to wipe out their entire race, to no avail. They still plague Pandaria to this day.","","1","0","0","0","0","0","0","0","5","30139","0","0"
