Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11
"1","MANA","MANA_COST","0","0","0","0","12480","0","0","0","0","1"
"2","RAGE","RAGE_COST","-12.5","0","1000","0","8192","1","0","0","0","10"
"3","FOCUS","FOCUS_COST","10","10","100","0","9344","2","0","0","100","1"
"4","ENERGY","ENERGY_COST","10","10","100","0","13440","3","0","0","100","1"
"5","COMBO_POINTS","COMBO_POINTS_COST","-0.1","0","5","10000","186","4","0","0","0","1"
"6","RUNES","RUNE_COST","0.1","0.1","6","0","9728","5","0","0","6","1"
"7","RUNIC_POWER","RUNIC_POWER_COST","-12.5","0","1000","0","0","6","0","0","0","10"
"8","SOUL_SHARDS","SOUL_SHARDS_COST","-0.25","0","5","12000","8287","7","0","3","3","1"
"9","LUNAR_POWER","LUNAR_POWER_COST","-40","0","1000","20000","34","8","0","0","0","10"
"10","HOLY_POWER","HOLY_POWER_COST","-0.1","0","3","10000","27","9","0","0","0","1"
"12","ALTERNATE","ALTERNATE_COST","0","0","0","0","128","10","0","0","0","1"
"13","MAELSTROM","MAELSTROM_COST","-1","0","100","0","48","11","0","0","0","1"
"14","CHI","CHI_COST","-0.1","0","4","10000","26","12","0","0","0","1"
"16","ARCANE_CHARGES","ARCANE_CHARGES_COST","-0.2","0","4","30000","58","16","0","0","0","1"
"17","FURY","FURY_COST","-1","0","100","10000","0","17","0","0","0","1"
"18","PAIN","PAIN_COST","-10","0","1000","10000","0","18","0","0","0","10"
"19","INSANITY","INSANITY_COST","-100","0","10000","30000","34","13","0","0","0","100"
