Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23
"8","230406","224548","Dwarven Bunker","War Mill","This structure stores and maintains the garrison's armaments.","Doubles the chance for your quest rewards to get a rare or epic Bonus Upgrade, and increases the potency of the upgrade. Allows the collection of armor scraps from the orc clans of Draenor for armor transmogrification use.","975736","824","15","14","1194","1193","0","0","150","0","10","1","1","0","2","3600","150","0"
"9","230407","224549","Dwarven Bunker","War Mill","This structure stores and maintains the garrison's armaments.","Opens up work orders for follower weapons and armor in exchange for garrison resources.  Also, new armor transmogrification items unlock.","975736","824","18","16","1196","1195","0","0","300","0","10","2","1","14","2","3600","900","0"
"10","230409","224550","Dwarven Bunker","War Mill","This structure stores and maintains the garrison's armaments.","Grants 1 of your 3 seals of inevitable fate (raid bonus loot roll) at no cost each week.","975736","824","19","17","1198","1197","0","0","500","0","10","3","1","21","2","3600","1200","0"
"24","230410","224795","Barn","Barn","The Barn houses captured creatures that provide the garrison with leather, meat, and fur.","Allows you to capture clefthoof, elekk, wolves, and talbuk for leather and fur.  Used for leatherworking and tailoring recipes.","975737","824","131","3","1220","1219","0","0","150","0","3","1","1","7","2","3600","100","0"
"25","230411","224796","Barn","Barn","The Barn houses captured creatures that provide the garrison with leather, meat, and fur.","Allows you to capture boars and riverbeasts for rare meats used to create the most powerful food.","975737","824","132","57","1222","1221","62","0","300","0","3","2","1","14","2","3600","300","0"
"26","230412","224797","Barracks","Barracks","The Barracks houses your garrison's military forces and followers.","Unlocks patrol missions.  Patrol missions have higher than normal follower experience rewards.","975738","824","142","36","1224","1223","0","0","150","0","8","1","1","1","2","3600","150","0"
"27","230413","224798","Barracks","Barracks","The Barracks houses your garrison's military forces and followers.","Allows a follower with the bodyguard trait to accompany you as a guardian in Draenor zones.","975738","824","143","37","1226","1225","231","0","300","0","8","2","1","3","2","3600","900","0"
"28","230414","224799","Barracks","Barracks","The Barracks houses your garrison's military forces and followers.","Increases your follower limit by 5 and grants access to racial guards and banners.","975738","824","144","38","1228","1227","231","0","500","0","8","3","1","5","2","3600","1200","5"
"29","230415","224800","Herb Garden","Herb Garden","A bountiful garden for the planting and harvesting of Draenor herbs.","Grows Draenic Seeds into herbs each day and herbalism nodes are available in the garden.","134221","824","137","59","1230","1229","0","0","0","0","2","1","0","7","2","3600","50","0"
"34","230416","224805","Lunarfall Inn","Frostwall Tavern","Adventure!  Excitement! A Hero and his followers need all these things, along with a place to rest afterward.","Each day, a visitor offering a dungeon quest with generous rewards will spend the day at your inn.","134414","824","7","6","1234","1233","0","0","150","0","5","1","1","1","2","3600","100","0"
"35","230417","224806","Lunarfall Inn","Frostwall Tavern","Adventure!  Excitement! A Hero and his followers need all these things, along with a place to rest afterward.","Recruits random followers each week.  You can specify traits and abilities you're especially interested in.","134414","824","138","31","1236","1235","0","0","300","0","5","2","1","3","2","3600","300","0"
"36","230418","224807","Lunarfall Inn","Frostwall Tavern","Adventure!  Excitement! A Hero and his followers need all these things, along with a place to rest afterward.","Unlocks the particularly lucrative garrison resource missions.","134414","824","139","32","1238","1237","0","0","500","0","5","3","1","5","2","3600","600","0"
"37","230419","224808","Mage Tower","Spirit Lodge","Enables instant travel to strategic points in Draenor!","Allows the collection of Ogre Waystones from Ogres on Draenor.  These waystones can be used to power an Ogre Waygate of your choice on Draenor.  Also occasionally triggers Runes of Power during combat.","975740","824","148","28","1240","1239","0","0","150","0","13","1","1","7","2","3600","150","0"
"38","230420","224809","Mage Tower","Spirit Lodge","Enables instant travel to strategic points in Draenor!","Unlocks access to a second Ogre Waygate for a total of 2.","975740","824","149","29","1242","1241","0","0","300","0","13","2","1","14","2","3600","900","0"
