Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5_0,Unknown5_1,Unknown6_0,Unknown6_1,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28
"2","1800","9999999","Gronnlings Abound","Gronnlings are a menace to the region.  We should partner with the Frostwolf clan to thin the population.  One may even join our cause...","Frostwall Approach","0","0","0","0","0","101","26253","12","824","0","90","23","1","0","3","1","65","0","2","0","0","0","100","0","0"
"3","1800","9999999","Landfall Recovery","It would be a worthwhile endeavor to search the ship we escaped Tanaan Jungle in, it's bound to turn up something useful!","The Burning Glacier","0","0","0","0","0","101","26251","12","824","0","90","23","1","0","3","1","65","0","2","0","5","0","100","0","0"
"5","1800","259200","Powdered Gronnling","Gronnling bones have been discovered in the cavern behind the garrison. Your alchemists are interested in digging them up for research purposes.","Garrison Caves","0","0","0","0","0","0","26539","26","824","0","90","24","1","0","18","1","100","0","2","0","10","0","100","0","0"
"6","1800","9999999","Grimfrost Wolfbeaters","The Grimfrost Ogres east of the Icewind Drifts are blatantly mistreating frostwolves.  Unacceptable!","Grimfrost Hill","0","0","0","0","0","101","26320","12","824","0","90","12","1","0","3","1","65","0","2","0","10","0","100","0","0"
"7","1800","9999999","Stonefury Rescue","There are reports of a bloody massacre on the Stonefury Cliffs!  Scatter the Frostbeak Scavengers and rescue wounded allies!","Stonefury Cliffs","0","0","0","0","0","101","28567","12","824","0","90","15","1","0","3","1","65","0","2","0","10","0","100","0","0"
"36","1800","259200","Frosty Potions","A scout has located a cache of Thunderlord potions frozen in the snow. Recovering them will allow your alchemists to learn about the ingredients of Draenor.","Icewind Drifts","0","0","0","0","0","0","26539","26","824","0","90","23","1","0","18","1","100","0","2","0","10","0","100","0","0"
"42","7","999999999","Gimme Loots","Grab all the loots","Auction House","0","0","0","0","400","0","26539","26","824","0","90","23","1","0","4","1","50","0","2","0","0","1","5","0","0"
"43","10","9999999","Frostfire Patrol","This is Matt's test mission *bugles and horns blair a triumphant tune*","Icewind Plains","0","0","0","0","0","101","26539","26","824","0","90","29","3","0","13","1","0","0","3","0","0","0","100","0","0"
"44","1800","9999999","Skyward Threat","Rylaks from the Burning Glacier have been attacking our supply caravans.  The material must flow!","Frostwall Approach","0","0","0","0","0","101","26252","12","824","0","90","15","1","0","3","1","65","0","2","0","0","0","100","0","0"
"45","1800","259200","Ogre Remedies","Bladespire ogres on the Burning Glacier usually carry packs of supplies when they venture out into the dunes of Frostfire. They may contain new types of potions.","Burning Glacier","0","0","0","0","0","0","5703","26","824","0","90","23","1","0","18","1","100","0","2","0","10","0","100","0","0"
"54","7","60","No Loots For You","Run away!!","Poor House","0","0","0","0","400","0","26539","26","824","0","90","23","1","0","4","1","0","0","2","0","0","0","5","0","0"
"55","8","9999999","Orcs in the Mountains!","Kill the orcs in the mountains.","Orc Mountain","0","0","0","0","0","101","26539","18","824","0","90","21","3","0","13","1","0","0","2","0","0","0","100","0","0"
"56","8","9999999","Ogres in the Desert!","Kill the ogres in the desert.","Ogre Desert","0","0","0","0","0","103","26539","18","824","0","90","22","3","0","25","1","0","0","2","0","0","0","100","0","0"
"57","8","9999999","Undead In The Snow","Kill the undead in the snow.","Undead Snow","0","0","0","0","0","104","26539","18","824","0","90","23","3","0","24","1","0","0","2","0","0","0","100","0","0"
