Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
"2","1.7","0.5","0.7","1","1","0.5","1.7","0.45","0.7","1","1","0.5","2"
"3","1.7","0.5","0.7","1.2","1","0.5","1.7","0.5","0.7","1.2","1","0.5","3"
"4","1.4","0.55","0.7","1.2","1","0.5","1.3","0.55","0.6","1.2","1","0.5","4"
"5","1.8","0.45","0.7","1.1","1","0.5","1.8","0.45","0.7","1.1","1","0.5","5"
"7","2","0.5","0.7","1.1","1.1","0.5","2","0.5","0.7","1.1","1.2","0.5","7"
"8","1.5","0.5","0.6","1.35","1","0.5","1.5","0.5","0.6","1.4","1","0.5","8"
"9","1.55","0.5","0.75","1","1","0.5","1.55","0.5","0.6","1.3","1","0.5","9"
"10","1.5","0.5","0.6","1.1","0.9","0.5","1.7","0.5","0.65","1.3","1.1","0.5","10"
"11","1.5","0.5","0.6","1","1","0.5","1.55","0.55","0.7","1.05","1","0.5","11"
"12","1.5","0.55","0.7","1.25","1.1","0.5","1.55","0.55","0.65","1.25","1.1","0.5","12"
"13","1.8","0.5","0.7","1.2","1","0.5","1.6","0.55","0.7","1.2","1","0.5","13"
"14","1.3","0.55","0.7","1.25","1","0.5","1.3","0.55","0.7","1.25","1","0.5","14"
"15","1.4","0.55","0.6","1.4","1","0.5","1.4","0.55","0.6","1.4","1","0.5","15"
"16","2.65","0.45","0.7","1.1","1.2","0.5","2.7","0.45","0.8","1.15","1.2","0.5","6"
"32","1.2","0.5","0.55","1","0.8","0.5","1.2","0.5","0.55","1","0.8","0.5","29"
"33","1.2","0.45","0.55","1.2","1","0.5","1.2","0.45","0.55","1.2","1","0.5","30"
"34","1.8","0.5","0.8","1.2","1.2","0.5","1.8","0.5","0.8","1.2","1.2","0.5","33"
"35","0.9","0.5","0.5","1.05","0.7","0.45","0.9","0.5","0.5","1.05","0.7","0.45","37"
"36","1.2","0.5","0.55","1.1","1","0.5","1.2","0.5","0.55","1.1","1","0.5","38"
"37","1.9","0.55","1","1.15","1.3","0.5","1.9","0.55","1","1.15","1.3","0.5","28"
"38","1.7","0.55","0.7","1.2","1.2","0.5","1.7","0.55","0.7","1.2","1.2","0.5","36"
"39","1.2","0.5","0.5","1.25","1","0.5","1.2","0.5","0.5","1.25","1","0.5","39"
"40","1.7","0.5","0.7","1","1","0.5","1.7","0.45","0.7","1","1","0.5","32"
"41","1.7","0.5","0.7","1","1","0.5","1.7","0.45","0.7","1","1","0.5","27"
"42","1.2","0.5","0.6","0.8","1","0.5","1.2","0.5","0.6","0.8","1","0.5","35"
"43","1.7","0.5","0.7","1","1","0.5","1.7","0.45","0.7","1","1","0.5","34"
"44","1.35","0.5","0.55","1.1","1","0.5","1.35","0.5","0.55","1.1","1","0.5","31"
"47","1.1","0.5","0.6","0.8","0.7","0.5","1.1","0.5","0.6","0.8","0.7","0.5","41"
"48","1.2","0.5","0.5","1.2","0.8","0.5","1.2","0.5","0.5","1.2","0.8","0.5","42"
"50","110","0.3","110","0.3","95","0.25","110","0.3","110","0.3","95","0.25","46"
"51","28","0.28","28","0.28","23","0.3","28","0.28","28","0.28","23","0.3","45"
"52","1.3","0.3","1.3","0.3","1.2","0.2","1.3","0.3","1.3","0.3","1.2","0.2","47"
"53","2","0.25","2","0.25","1.8","0.2","2","0.25","2","0.25","1.8","0.2","48"
"54","1.8","0.25","1.8","0.25","1.8","0.2","1.8","0.25","1.8","0.25","1.8","0.2","44"
"55","46","0.3","46","0.3","32","0.2","46","0.3","46","0.3","32","0.2","49"
"56","70","0.3","70","0.3","65","0.23","70","0.3","70","0.3","65","0.23","50"
"57","17","0.25","17","0.25","14","0.2","17","0.25","17","0.25","14","0.2","52"
"58","2","0.25","2","0.25","1.8","0.2","2","0.25","2","0.25","1.8","0.2","51"
"59","2","0.5","0.7","1.1","1.1","0.6","2","0.5","0.7","1.1","1.1","0.6","62"
"60","1.5","0.5","0.6","1.1","0.9","0.6","1.5","0.5","0.6","1.3","0.9","0.6","63"
"61","1.2","0.5","0.5","1.05","0.7","0.6","1.2","0.5","0.5","1.05","0.7","0.6","64"
"63","1.4","0.5","0.7","1","1","0.5","1.3","0.5","0.7","1","1","0.5","56"
"64","1.4","0.45","1","1.05","1","0.45","1.4","0.45","1","1.05","1","0.45","65"
"65","3","0.45","2","1.05","1.5","0.45","3","0.45","2","1.05","1.5","0.45","66"
"66","1.3","0.5","0.5","1.25","0.8","0.5","1.3","0.5","0.5","1.25","0.8","0.5","54"
"68","1.5","0.5","0.7","1","1","0.5","1.5","0.45","0.7","1","1","0.5","55"
"69","2","0.5","1","0.4","1","0.5","2","0.45","1","0.4","1","0.5","59"
"70","1.7","0.5","0.5","1.05","1.2","0.6","1.7","0.5","0.5","1.05","1.2","0.6","60"
"71","1.2","0.5","0.7","1","1","0.5","1.2","0.5","0.7","1","1","0.5","61"
"72","1.6","0.5","1.2","0.8","1","0.5","1.6","0.5","1.2","0.8","1","0.5","58"
